TeamName,RA/G,DefEff,E,DP,W,L,W-L%,ERA,tSho,H,ER,HR,BB,SO,R/G,R,H 1,RBI,SB,SO 1,BA,OBP,SLG,GDP,LOB,salary,WAR
2018 ARI,3.98,0.698,75,152,82,80,0.506,3.72,9,1313,605,174,522,1448,4.28,693,1283,658,79,1460,0.235,0.31,0.397,110,1086,143324597,34.1
2018 ATL,4.06,0.709,80,134,90,72,0.556,3.75,11,1236,607,153,635,1423,4.69,759,1433,717,90,1290,0.257,0.324,0.417,99,1143,130649395,40.8
2018 BAL,5.51,0.674,104,159,47,115,0.29,5.18,7,1552,824,234,589,1203,3.84,622,1317,593,81,1412,0.239,0.298,0.391,132,1027,127633703,11.4
2018 BOS,3.99,0.693,77,106,108,54,0.667,3.75,14,1305,608,176,512,1558,5.41,876,1509,829,125,1253,0.268,0.339,0.453,130,1124,227398860,56.5
2018 CHC,3.96,0.7,104,155,95,68,0.583,3.65,18,1319,598,157,622,1333,4.67,761,1453,722,66,1388,0.258,0.333,0.41,107,1224,194259933,45.0
2018 CHW,5.23,0.69,114,134,62,100,0.383,4.83,8,1404,771,196,653,1259,4.05,656,1332,639,98,1594,0.241,0.302,0.401,99,1050,71839808,17.3
2018 CIN,5.06,0.685,95,144,67,95,0.414,4.63,6,1491,741,228,532,1258,4.3,696,1404,665,77,1376,0.254,0.328,0.401,128,1179,100305768,22.2
2018 CLE,4,0.688,83,123,91,71,0.562,3.77,17,1349,611,200,407,1544,5.05,818,1447,786,135,1189,0.259,0.332,0.434,98,1147,142804703,50.8
2018 COL,4.57,0.688,74,162,91,72,0.558,4.33,10,1377,699,184,525,1409,4.79,780,1418,748,95,1397,0.256,0.322,0.435,114,1067,143968544,36.6
2018 DET,4.91,0.694,95,126,64,98,0.395,4.58,2,1423,726,216,491,1215,3.89,630,1326,597,70,1341,0.241,0.3,0.38,110,1071,130959889,17.4
2018 HOU,3.3,0.705,63,116,103,59,0.636,3.11,12,1164,503,152,435,1687,4.92,797,1390,763,71,1197,0.255,0.329,0.425,156,1052,163524216,57.1
2018 KCR,5.14,0.68,77,142,58,104,0.358,4.94,8,1542,786,205,549,1157,3.94,638,1350,606,117,1310,0.245,0.305,0.392,123,1063,129944821,17.7
2018 LAA,4.46,0.693,76,173,80,82,0.494,4.15,9,1353,662,205,546,1386,4.45,721,1323,690,89,1300,0.242,0.313,0.413,111,1071,173784989,35.1
2018 LAD,3.74,0.698,100,111,92,71,0.564,3.38,11,1279,554,179,422,1565,4.93,804,1394,756,75,1436,0.25,0.333,0.442,119,1163,199582045,49.9
2018 MIA,5.02,0.697,83,133,63,98,0.391,4.76,12,1388,762,192,605,1249,3.66,589,1303,554,45,1384,0.237,0.303,0.357,119,1123,91817860,9.3
2018 MIL,4.04,0.704,108,141,96,67,0.589,3.73,14,1259,606,173,553,1428,4.63,754,1398,711,124,1458,0.252,0.323,0.424,128,1106,108982016,39.6
2018 MIN,4.78,0.682,97,127,78,84,0.481,4.5,7,1425,721,198,573,1377,4.56,738,1379,704,47,1328,0.25,0.318,0.405,89,1087,115509520,28.8
2018 NYM,4.36,0.691,88,121,77,85,0.475,4.07,15,1364,661,185,484,1446,4.17,676,1282,649,71,1404,0.234,0.312,0.389,116,1104,150187987,30.7
2018 NYY,4.13,0.684,94,95,100,62,0.617,3.78,11,1311,611,177,494,1634,5.25,851,1374,821,63,1421,0.249,0.329,0.451,107,1100,179598151,51.3
2018 OAK,4.16,0.717,89,125,97,65,0.599,3.81,14,1303,621,184,474,1237,5.02,813,1407,778,35,1381,0.252,0.325,0.439,136,1085,80315288,49.2
2018 PHI,4.49,0.677,123,138,80,82,0.494,4.14,12,1366,665,171,500,1465,4.18,677,1270,653,69,1520,0.234,0.314,0.393,102,1120,104297471,28.3
2018 PIT,4.3,0.686,105,128,82,79,0.509,4,16,1380,637,174,497,1336,4.3,692,1381,665,70,1229,0.254,0.317,0.407,121,1071,91025861,30.3
2018 SDP,4.73,0.68,100,127,66,96,0.407,4.4,5,1430,713,185,519,1399,3.81,617,1289,583,95,1523,0.235,0.297,0.38,122,1028,101343635,14.2
2018 SEA,4.39,0.691,88,152,89,73,0.549,4.13,12,1396,664,195,400,1328,4.18,677,1402,644,79,1221,0.254,0.314,0.408,128,1084,205665348,35.7
2018 SFG,4.31,0.692,97,160,73,89,0.451,3.95,15,1387,641,156,524,1269,3.72,603,1324,573,77,1467,0.239,0.3,0.368,113,1101,160993827,21.4
2018 STL,4.27,0.685,133,151,88,74,0.543,3.85,8,1354,622,144,593,1337,4.69,759,1369,725,63,1380,0.249,0.321,0.409,92,1101,163784311,31.4
2018 TBR,3.99,0.708,85,135,90,72,0.556,3.74,14,1236,602,164,501,1421,4.42,716,1415,664,128,1388,0.258,0.333,0.406,122,1156,68810167,46.4
2018 TEX,5.23,0.682,120,169,67,95,0.414,4.92,5,1516,783,222,491,1121,4.55,737,1308,696,74,1484,0.24,0.318,0.404,104,1093,140625018,27.8
2018 TOR,5.14,0.678,101,138,73,89,0.451,4.85,3,1476,772,208,551,1298,4.38,709,1336,680,47,1387,0.244,0.312,0.427,118,1036,150946147,23.1
2018 WSN,4.21,0.703,64,115,82,80,0.506,4.04,7,1320,649,198,487,1417,4.76,771,1402,737,119,1289,0.254,0.335,0.419,104,1180,181382609,39.7
2017 ARI,4.07,0.687,108,140,93,69,0.574,3.66,11,1309,586,171,516,1482,5.01,812,1405,776,103,1456,0.254,0.329,0.445,106,1118,102619475,47.0
2017 ATL,5.07,0.683,97,137,72,90,0.444,4.72,6,1463,756,192,584,1258,4.52,732,1467,706,77,1184,0.263,0.326,0.412,137,1127,105218575,20.4
2017 BAL,5.19,0.683,94,175,75,87,0.463,4.97,10,1505,795,242,579,1233,4.59,743,1469,713,32,1412,0.26,0.312,0.435,138,1041,176349127,24.9
2017 BOS,4.12,0.68,107,126,93,69,0.574,3.7,11,1384,610,195,465,1580,4.85,785,1461,735,106,1224,0.258,0.329,0.407,141,1134,209872508,41.9
2017 CHC,4.29,0.699,95,139,92,70,0.568,3.95,8,1294,636,194,554,1439,5.07,822,1402,785,62,1401,0.255,0.338,0.437,134,1147,172092536,42.4
2017 CHW,5.06,0.7,114,157,67,95,0.414,4.78,3,1384,755,242,632,1193,4.36,706,1412,670,71,1397,0.256,0.314,0.417,124,1055,86382688,25.6
2017 CIN,5.36,0.691,81,132,68,94,0.42,5.17,8,1442,821,248,631,1300,4.65,753,1390,715,120,1329,0.253,0.329,0.433,116,1135,96436003,21.6
2017 CLE,3.48,0.683,76,167,102,60,0.63,3.3,19,1267,529,163,406,1614,5.05,818,1449,780,88,1153,0.263,0.339,0.449,125,1158,131958928,61.2
2017 COL,4.67,0.683,77,168,87,75,0.537,4.51,9,1453,721,190,532,1270,5.09,824,1510,793,59,1408,0.273,0.338,0.444,143,1088,139324341,38.0
2017 DET,5.52,0.668,84,146,64,98,0.395,5.36,4,1587,846,218,538,1202,4.54,735,1435,699,65,1313,0.258,0.324,0.424,128,1104,188498884,22.2
2017 HOU,4.32,0.682,99,153,101,61,0.623,4.12,9,1314,662,192,522,1593,5.53,896,1581,854,98,1087,0.282,0.346,0.478,139,1094,138709677,52.9
2017 KCR,4.88,0.685,79,145,80,82,0.494,4.61,6,1480,737,196,519,1216,4.33,702,1436,660,91,1166,0.259,0.311,0.42,160,1005,148227822,29.0
